indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_de_ventas,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito,otros_medios,ventas_totales_grupos_articulos,subtotal_alimentos_bebidas,bebidas,almacen,panaderia,lacteos,carnes,verduleria_fruteria,articulos_limpieza_perfumeria,indumentaria_calzado_textiles_hogar,electronicos_articulos_hogar,otros
2017-01-01,4094.5146717288003,4030.013224233546,4094514.6717299996,4077769.5802299995,16745.0915,4094514.6717299996,2483180.24277,684958.53868,531567.3061700001,394808.5841099999,4094514.6717288005,2555972.8386363,573064.062758,1623843.9793900002,11576.020155999999,253462.37286899998,73883.8420783,20142.561385,1219345.1806200002,1146.3800635,48728.12375499999,269322.148654
2017-02-01,3841.8889607639994,3713.271195681586,3841888.9607599997,3827588.30196,14300.658800000001,3841888.9607599997,2285984.28027,686144.8362500002,496510.26076,373249.58348000003,3841888.9607639993,2459724.4479269995,540122.059684,1559484.12305,11395.77156,252720.26931200002,75545.84656099998,20456.37776,1089117.6918300001,1018.55948,34128.345838,257899.915689
2017-03-01,4659.613353099001,4406.127213656864,4659613.353099999,4637999.779599999,21613.5735,4659613.353099999,2789934.95872,773075.31732,635228.4948799999,461374.58218,4659613.353098999,3024494.20982,586230.167153,2005508.8501300002,12889.82884,307951.541688,89305.98424899999,22607.83776,1296008.6130699997,927.07161,36321.55969299999,301861.898906
2017-04-01,4522.856257833002,4194.682270751379,4522856.2578300005,4506373.95583,16482.302,4522856.2578300005,2664177.91298,796667.12421,646548.44938,415462.77126000007,4522856.257833002,2960991.1575010004,572661.706609,1967271.9979000003,13642.250639999998,298638.08847,84722.683112,24054.43077,1218971.24743,1098.13105,43054.655176,298741.0666760001
2017-05-01,4669.8534447639995,4273.719454118146,4669853.44476,4649722.22996,20131.2148,4669853.44476,2830388.35502,801165.96601,577904.1381900001,460394.98554,4669853.444763999,3060107.7324780007,600798.624702,2049103.7974700006,12204.52656,294705.37650899997,80608.791857,22686.615380000003,1266489.74326,1077.4923000000001,47370.570453,294807.906273
2017-06-01,4800.305722021001,4331.267373892729,4800305.72202,4781204.28682,19101.4352,4800305.72202,2893949.80798,853060.8323100001,596635.26284,456659.81889,4800305.722021,3160316.5614920002,614365.6953780001,2114688.360092,12347.77917,313530.516471,82545.500111,22838.71027,1278099.0415499997,1220.72324,49580.578066,311088.817673
2017-07-01,5142.464981493001,4563.950624382367,5142464.98149,5121315.89308,21149.08841,5142464.98149,3056017.24987,976006.0985899998,624929.4204799999,485512.21255000005,5142464.981493002,3360674.2713889997,654432.641168,2228494.1626999998,13817.717400000001,344360.054837,93193.37122399999,26376.32406,1380784.78278,1321.1750499999998,54721.565042,344963.18723200005
2017-08-01,5080.855745657999,4449.684481707583,5080855.7456600005,5059114.54179,21741.20387,5080855.7456600005,3080476.9562900006,920574.6104300001,575875.7526800002,503928.42626,5080855.745657999,3322184.62564,688295.398517,2168499.76068,13584.11059,335166.83915,91274.430393,25364.08631,1366762.5799200004,1283.55899,52309.342591,338315.6385169999
2017-09-01,5089.94930002,4398.986517045603,5089949.30002,5067475.45245,22473.84757,5089949.30002,2965462.2539100004,963892.9799400001,603948.1241799999,556645.94199,5089949.300019999,3312260.32457,677765.1911399998,2170571.92234,13560.3933,337011.29598,88994.75795999999,24356.763849999996,1392767.83731,1575.2899499999999,52594.32725,330751.52094
2017-10-01,4919.1451864400005,4201.123553916334,4919145.186439999,4894808.535329999,24336.65111,4919145.186439999,2900288.7513300003,876643.0831500001,549887.6724800001,592325.67948,4919145.18644,3173371.6704000006,685723.7167900001,2047535.63464,14714.33163,310137.87367,89844.08429,25416.02938,1373996.45077,1343.26505,52931.00563,317502.79458999995
